,industry_detail,industry_code,industry_region,ACID,CCDD,CMSW,CRHW,ENRG,ETOX,EUTR,GHG,HAPS,HCAN,HNCN,HRSP,HTOX,JOBS,LAND,METL,MNRL,NNRG,OZON,PEST,RNRG,SMOG,VADD,WATR
11,Wild-caught fish and game,114000,US,15539.318698667543,493192.12593349325,7064234.123262136,8289.641459929237,283444.2202567244,26604724.45517378,104029.15394425858,1584445294.583451,2926.1195699853693,0.0036866326267758743,0.011042778261480085,19610.812705569133,0.014735988622284254,19288.591689903966,20442172.069941305,258.8936490178886,0.0,0.0,0.08812542348007865,370.4295820768306,283444.2202567244,350944.7010172243,6130717122.352272,5611198.438970361
12,Agriculture and forestry support,115000,US,54749427.33032361,23752229.872776423,345499773.7703651,634099.7750646039,97680002.82540621,31814483456.50761,28574282.599099223,5499777146.825544,562335.2019140557,1.4812411839104618,8.713531101446593,15533657.345716015,10.194453602075246,128515.47382738028,37826564054.75936,8116.839915942901,0.0,0.0,18647.969303286805,893430.6032874988,97680002.82540621,204936607.67161068,21539723074.48383,1594771352.0713801
13,Unrefined oil and gas,211000,US,746793729.0835143,10218703.233279468,149350793.91568926,11892337.906365596,39917911519872.414,588304401.5769079,123759389.35046762,151784546835.87534,113887195.06725796,205.4628136195789,1279.6552474780406,35432325.34151153,1485.5471496388082,157595.89491585863,212560102741.49448,4728.790172338915,0.0,39917909861510.38,6302.977411959374,1.306757109259697,1658362.031467532,33425982906.01625,276978821348.92377,1133064699.249462
14,Coal,212100,US,15229161.76838202,3852895.776923707,56324738.68277161,66241.42520140563,15185559946696.98,382631.29951062304,1840392.7608022382,59105919966.95765,41926.02493192042,0.16949578730203235,0.22830740129040972,50590646.26840074,0.39816631856229945,52597.31155002945,2633114501.2039847,13072.182333839106,0.0,15185559946696.98,0.06213821922654643,0.0,0.0,528685411.96689105,21127651799.55461,11971270.42811589
15,"Iron, gold, silver, and other metal ores",2122A0,US,15210769.151433697,938477.8440304392,13725959.785394194,1328784.7784382924,45782740.426397,24068858.964039866,2317939.9725540103,4419926264.144799,351256.5981400781,0.9148591992958955,1.390948175691449,14148662.541005978,2.3077687634667643,13742.729249711672,19279513.185252864,20741.2040475152,7865541948.59234,0.0,162.12928824662688,0.0,45782740.426397,363766433.28043723,5501134709.780455,235235064.543361
16,"Copper, nickel, lead, and zinc",212230,US,19063336.15179908,1269208.7895186828,18573666.27609594,1891010.268416891,3388564.965115748,20232664.16111841,996889.0930242027,9963898688.71415,247040.55058866803,0.12503630257920093,0.1847020913198631,16576401.55850816,0.3100062051445375,14053.660015213114,23552783.123819746,65516.92854419669,2858781778.224356,0.0,11.994785438546284,0.0,3388564.965115748,232576328.04774928,8319120421.258722,286350416.5621654
17,Dimensional stone,212310,US,6691085.466312868,1805991.0777534023,25702473.1257145,1794055.0079691939,0.0,799214.0898935923,4087949.970573005,6985626490.934687,323724.4788389374,0.2627992815656652,0.2883995845672284,22156916.388565313,0.5517579028827289,31719.168564494543,50389155.99216715,19137.491634358827,1981236667393.1038,0.0,27.570831212957028,4.630309948253786,0.0,176792490.07927036,10482433856.399279,888203957.658355
18,"Sand, gravel, clay, phosphate, other nonmetallic minerals",2123A0,US,15777402.08846312,1469222.3043400329,20601038.667616453,343402.70120996644,19702591988.20836,3926042.8474108386,5084314.373936036,9484609743.293995,637148.5781943359,0.8077400895884344,3.0619827835163638,19416354.933808506,3.8715559774080877,29817.10801734711,976450431.0315408,4202.946111045728,90295028443.54837,19702236144.56399,10.179599910159167,0.7011484972895009,355843.64436491876,328634739.6107812,7520380251.198697,561701245.8256202
19,Well drilling,213111,US,78115779.6725585,6506988.552515701,95171006.16884817,534290.7447078851,4157744309306.5405,61124867.120538175,12934982.563810928,17181247044.72095,11905079.09868777,21.530533099004348,133.97485768175716,3692887.703411675,155.55036569073886,110622.18983381806,22142847532.20842,465.7792149786626,0.0,4157744309306.5405,652.860269331055,0.0,0.0,3493268913.2859077,45760602902.3292,150311039.71506044
20,Other support activities for mining,21311A,US,21193870.231680516,12294559.44398413,179813598.44169822,2668861.3529255735,1467042529384.2485,24292682.429971028,3626295.136600851,14024646660.687216,4373951.537404066,6.697963723859132,58.3086066466917,10217151.584995778,65.02078422213576,225366.5922030255,3329837168.0525913,8311.407765100323,305430862712.2086,1467038976775.432,106.5723887289822,0.0,3552608.816572189,769521077.074548,47081223262.886566,416203125.65186393
21,Electricity,221100,US,6158469496.225662,42178721.704803504,616934788.2019446,53775284.06054239,15790628400286.525,4435463088.495185,509649939.06170744,2223669640770.6562,96339682.47701867,33.21241376841752,201.6117967496009,529012950.7658319,234.89386082335366,494556.3037849536,2741139682.028575,1021175.866026773,0.0,9431002099397.137,40868.941677779454,129.83130712892898,6359626300889.389,52016013578.726906,259959394968.8293,161967094549.20157
22,Natural gas,221200,US,460238600.8348963,19853117.89808709,290417685.0105163,6281988.349678197,1060797573545.5767,336233731.35963166,39228721.96571089,243594949740.4989,9788685.745637411,12.20707579110673,135.70591980294833,37558907.65895306,147.93903558287968,188293.80188394256,203048818.02257144,74807.29719741855,0.0,633562616017.9768,3069.3050852194256,16.802171458551356,427234957527.5999,4528865488.596258,88033211142.38878,10885590278.27648
23,Drinking water and wastewater treatment,221300,US,65529011.78670917,1834468.0136139158,26172999.076086894,4272442.942923881,67563612148.14539,34315116.86362766,3325972633.6531224,27098955232.691948,2014604.6844301284,1.8013786166336594,15.861423732210424,6746914.323612349,17.666336380524907,150706.96348380545,47033643.40046272,65624.016135125,0.0,39322229923.41731,2364.656539651967,11.07233346950342,28241382224.72807,686818655.8184766,38486903437.06137,817669201.3935279
24,Nonresidential building repair and maintanence,230301,US,10879.193033651034,41093596678.16951,4047377301.5605607,1693069.2052462932,614102.6229391306,59910.99624774156,4099.881629107641,11012213.018873263,15817.22884548733,0.0027135249581227146,0.008243475534142524,5754.647129812978,0.010962084062491119,11454.420891479202,496578.94038204633,3.7685447271442487,0.0,0.0,25.867732890277097,2.5645281416356216,614102.6229391306,1375594.1381241577,1845188192.197921,796181.5677458808
25,Residential building repair and maintanence,230302,US,8749.475558034463,14599526162.06759,2319174140.0466366,1023818.0801929984,1661703.991587188,7192.796575442865,24461.285008891155,55378712.39073738,90572.0355121951,0.006553028516620047,0.011747388733526855,1156.0492901218975,0.01830588014376201,27890.929797503013,12604428.254527185,0.49919280165940993,0.0,0.0,12.692467611849949,0.0,1661703.991587188,6302309.050392706,2265892590.1958404,2851769.226486263
26,Health care buildings,233210,US,29535.194622217325,7004296242.441249,1099577547.5744672,361173.75729677576,773641.1679269096,46880.315580166265,6318.506976074109,37342015.03767668,4932.988162649804,0.006318883932473704,0.012660131158412958,4232.483770365953,0.018992329079521485,13685.016490428365,2584947.559303135,543.4536219081305,0.0,0.0,0.18969644575570546,0.10553446981200647,773641.1679269096,916831.7580249886,1246510877.7848449,2211719.836836907
27,Manufacturing buildings,233230,US,3933892.46476726,3676421289.0200844,31498999.493146285,10826119.550314268,3496483594.40823,3023718.080018907,1035416.6128782788,1370588618.333932,891149.3121320765,0.21103215949535084,1.105295401342302,773268.1767332706,1.3166845621282988,30778.152796488972,13847980.51262616,6834.091521472727,0.0,0.0,4298.45846626447,106.4160555045283,3496483594.40823,83250257.31747009,2969124112.0852456,20409292.813884478
28,Utilities buildings and infrastructure,233240,US,76507348.72959897,71352236277.1719,37084973.49024794,2057916.6506824363,2468805299603.468,54113996.81267761,7511174.929743792,34193810237.72605,1369370.5083279645,0.8253085480592326,4.702715915789306,21798087.603845883,5.5297897008551615,35625.829434825166,621861486.8649603,22535.270131780242,272850144929.40356,2398735884111.253,471.88402945899117,1.4288996611818274,70069415492.21457,789933105.150389,12304489717.953709,2035104449.6642423
29,Schools and vocational buildings,233262,US,201993.77334020124,17465746406.411728,2739463076.7206235,864128.9224488279,23574603.910555486,326880.1661603667,269587.95792244194,272415031.69462657,31003.793161114896,0.03703171174529899,0.079703210792612,26100.165526655164,0.11681327188717715,112994.04475167386,17904440.89986315,4073.801156518952,0.0,0.0,2.5779539583420803,0.7771748789726295,23574603.910555486,5181534.945231577,3830286497.512683,17954903.14365357
30,"Highways, streets, and bridges",233293,US,125344.69713081008,297843146561.16907,4147440.904256109,56749211.06230719,4512634.123136291,336807.90783289354,39080.34128945131,194124081.9046378,30519.4585685327,0.03789963496515622,0.07824498217966094,19207.604932442187,0.1162248142278818,17581.691388842693,6622437.089797414,4210.361124449122,0.0,0.0,1.3235399601457507,0.8215885315580882,4512634.123136291,4615302.983067565,3463128558.5690284,11945782.538085897
31,"Commercial structures, including farm structures",2332A0,US,62648094.97397196,25265489813.027573,4148179636.5600142,2184383.755855519,4236382.84988435,31170228.72213883,8864955.684993723,29977563595.470695,3190053.9350872785,13.54954272498482,20.16507451765236,50775985.27410179,33.743639511975424,1320498.802078941,111074130.79120798,1015.6891302588476,0.0,0.0,96.96923762499652,2.541588558080918,4236382.84988435,2271899316.0689025,108091779375.30736,63719373.55254386
32,Other nonresidential structures,2332B0,US,58757233.292551465,37023178410.25399,64742100.468509704,3059431.233064879,14422350.108410053,29235634.47106069,19461207.025995128,23769624513.871307,2875043.675471737,11.692810271225365,18.919927661539933,49671555.82747297,30.637809343032444,1125074.4521037752,3600802509.5324454,8748.80501222643,0.0,0.0,37.338942057915276,2.281761770737354,14422350.108410053,2117196111.3571687,109389899450.42882,63950819.38594659
33,Single-family homes,233411,US,21612.62273994774,56625022953.21067,8845652838.34333,2535102.560490594,5332.518651136771,6729.009206592463,608611.8479752097,4486590.933753128,2134.5781095718376,0.002732724919635292,0.004593889203708511,2217.6926559190983,0.0073324156005764194,1652.32119829787,183389.49563525812,3.1047296889775033,0.0,0.0,0.043523132966376596,0.0,5332.518651136771,675640.5520726563,25101537080.642887,5444.186512340418
34,Multifamily homes,233412,US,10042.384193021851,11053037491.907713,1724896090.7286048,9016733.718002273,236633.19604337818,25317.350404492063,70670.80877384875,11494650.405548468,1918.0606145365628,0.0024090634261548405,0.004884210840128758,1481.0539252846975,0.007298366946027002,1441.5989654945772,733105.8153795594,337.88865871253137,0.0,0.0,0.1063900036534998,0.06564438092547485,236633.19604337818,340294.59696924867,3071278425.4841795,686224.5482090041
35,Other residential structures,2334A0,US,54434082.10220254,38800705389.718765,6046736936.569257,1440427.5008599528,6196041.233535806,26879558.429391105,8019715.3674246,25189127795.524097,2625719.2207266386,11.735193826739101,17.572032837728003,19855626.65668518,29.332379500590026,81837.85243060373,4773874.7251185505,739.883107454265,0.0,0.0,4.577263181694617,0.024360420225379334,6196041.233535806,1968185700.8720002,71077223919.30669,73370362.6324506
36,Lumber and treated lumber,321100,US,9353533.40621324,18631565.74193772,175214561.28979972,12959969.70199521,163101892693.50204,42208039.72684971,6999536.815860294,1105887253.6114278,3193510.596123988,5.17035050912478,106.66910155301186,9140323.842164747,111.85008123187453,128279.76275580077,53152925.49427688,50431.295354159156,0.0,0.0,2642.6984239096214,1174.4633212997276,163101892693.50204,385202381.9415289,9274981777.454288,71360694.34438151
37,Plywood and veneer,321200,US,16472556.71887096,10915589.988427294,102663253.59159307,915038.2616528919,20641926774.32746,50778502.961283274,2075229.015746738,2454031943.062003,5041685.424516626,13.732687098422444,121.79557474335243,13749858.659310535,135.55736861853663,79084.46910698828,53985535.68344533,44400.971951856125,0.0,0.0,3389.4967147434772,8.570665712359068,20641926774.32746,564173513.4525101,6516554709.4128275,69007676.04116206
38,"Wooden windows, door, and flooring",321910,US,2159691.350580434,14286705.111273512,134359873.51649934,2347954.812175178,2520104773.9595523,5240078.732482446,293897.0064578207,925575327.1843576,873728.8019059786,1.1255945076457197,18.43402490904808,2939619.8300697696,19.56200869581524,126909.07217131274,84614077.43005447,7300.104398022823,0.0,0.0,2762.7306668290666,13.048408146402062,2520104773.9595523,104268357.17814559,9634557298.367363,92512639.30861771
39,"Veneer, plywood, and engineered wood",3219A0,US,2121654.721877847,13141773.68000405,123589035.65022048,921454.8119913277,1914093538.9583175,315337981.7864549,391567.54900057265,1888177986.762789,875138.352179232,0.8100537586730717,21.7602040214998,3122405.6360498546,22.571991221611164,109068.39146525203,282844025.5500491,15245.140642345352,0.0,0.0,836.218111398528,4357.909128579496,1914093538.9583175,95650063.54859897,9410984257.178047,128743439.99893846
40,Clay and ceramic products,327100,US,20267427.33201221,4041749.444678012,38012101.24211309,1606291.7170558702,2880.5084638376584,3279936.103771997,1063105.3023797437,2915640032.7806363,1575752.9550864082,0.15321856945711884,0.2655354851543985,5491062.55687118,0.41898508872121026,45304.199573649246,23943497.363001462,35118.613422263945,0.0,0.0,190.87649591895868,0.8542781442870688,2880.5084638376584,281224680.74101835,4705699444.321433,34014794.12335284
41,Glass and glass products,327200,US,59059702.253840804,11573156.625356099,108650996.80833554,18930613.215012845,224819.83223782695,23469173.277754534,5601980.763481095,8573758310.792829,998079.5719720727,0.5160116496976805,0.3943432456021583,10103467.975061512,0.9113945516352738,91447.69399883637,88088969.55409172,58846.59509764302,0.0,0.0,1986.4573352786858,0.7449449685922401,224819.83223782695,1516823992.7190578,10686008003.331793,63293202.455472566
42,Cement,327310,US,280767546.9395528,5338235.675016927,50196855.13643675,72167352.9326541,0.0,36288199.29321247,29414573.30167675,84060471330.90933,4743959.03417272,3.8028031214747715,1.365339196869006,30954554.33401263,5.1757407948557255,28551.34574766775,34188348.64792964,64537.12003440306,0.0,0.0,3070.5405830173654,89.82486781215803,0.0,5747146694.03584,6074537054.229566,28210943.784692496
43,Ready-mix concrete,327320,US,3184806.4196374635,16982098.03340857,159784421.0668209,712819.007982747,0.0,441487.9069820227,362622.5272327206,3964619553.9244123,87758.3828938938,0.14824889814785827,0.13605430077764705,6608739.656085372,0.28461499801217865,131998.5525800756,54961280.61244511,15168.931129997676,4331074097.743488,0.0,7.0240430917129055,0.3623416358359582,0.0,85523069.50417228,11083686658.724741,104762165.6861627
44,"Concrete pipe, bricks, and blocks",327330,US,1181825.5806913374,4337496.585280999,40786280.5018915,135451.16205552715,0.0,39030.819239569086,60231.91970718686,751922274.1932144,139520.9055653011,0.016792019626088672,0.026079285961568388,1049718.4066575288,0.042896812935276876,38644.10263829175,12270536.317403205,8637.08528651645,0.0,0.0,7.437569219980229,0.004313937787769104,0.0,17992444.946322646,4563370563.336684,26440884.34768445
45,Other concrete products,327390,US,822241.9599935749,6110439.337379859,57465888.42056919,332012.74636952934,17201.465045291396,143280.27887016532,79450.92144832632,679737726.0639486,93763.61563843397,0.02442246929738015,0.03653512529032437,1289998.3485073384,0.060995487404702016,63564.78880017836,20032382.71647566,4232.734854013346,0.0,0.0,0.7854739924107283,0.0993005636588799,17201.465045291396,24252257.432095863,5702490870.616631,45894556.95511364
46,Lime and gypsum products,327400,US,56007575.41954146,3717317.3180627325,34980593.95339437,1008502.8712805414,1006938.9674382235,10882322.726811932,7065168.702060011,25489713057.07757,1265284.7373406112,0.4994983123717074,0.23115451785167906,9139198.53986824,0.7316983588802775,16392.256166993422,20198651.658665497,4782.146830140388,8556117082.208632,0.0,30.403674825551832,739.5624864257865,1006938.9674382235,956672467.2295922,3070818452.865178,15429211.117182555
47,Abrasive products,327910,US,1386378.9968284555,1970205.2527250384,18529926.8915487,758741.5198857777,245676.43976090458,704398.8237780461,45255.21148247874,166475759.7328782,106701.78406151793,0.11809400938268948,0.07994966104698688,302218.46883110376,0.19829673227061997,9567.053458175713,2590726.033711205,949.5785973052729,0.0,0.0,2.1393832243261537,9.643003961036028,245676.43976090458,13498730.277917542,2625055743.3997416,17293534.002049536
48,Cut stone and stone products,327991,US,2051632.875924978,2111272.992520852,19910133.552262675,1508645.39733711,149161.38471511353,135892.36472100724,128125.74177963326,240604077.92747635,126063.07987307265,0.034652548171217316,0.1194206191007788,1219321.6082304742,0.1541199637621192,22089.18595303433,9188198.787573878,4980.617280693204,11861185313.55133,0.0,783.3917808328496,0.5181790499201915,149161.38471511353,25712124.066847004,2260346091.747592,22183181.377217703
49,Ground or treated minerals and earth,327992,US,8650232.771436146,1551574.6323638826,14599931.822544888,185394.3011052749,17938.807462231252,133689.22065149745,1050479.8176312167,680663773.2242106,44265.971011714784,0.017958561399371947,0.07407347485831171,1531290.6677270948,0.09207236714237632,6572.9981541,2405214.0792294266,4764.19940269291,72879161.181728,0.0,2.7957357554964317,2.7121833633355124,17938.807462231252,71317335.88667497,1570193108.3758671,4669714.646413035
50,Mineral wool,327993,US,5859549.325096508,2869905.15848615,26986923.536923576,1337831.8813347681,0.0,9089399.285969893,313210.5870167059,1703823240.623793,674794.9298218779,2.963638313846842,0.08316361133935977,4015566.5918896026,3.053205770051853,20962.754937701,19270459.020373806,7296.000028087801,0.0,0.0,0.0018336208571986096,0.0,0.0,58495504.66426308,3154954014.6636567,25172876.18699815
51,Other nonmetallic mineral products,327999,US,1157632.6159562499,1642537.9506161187,15433825.67370829,402400.8442585194,0.0,402472.187316487,113646.88522110393,647874262.5376456,187049.90937937069,0.08820568031287268,0.025345513899365738,601412.936915396,0.11370929068164626,12754.464345724406,3698318.200385093,1692.2082537604565,0.0,0.0,6.1507084879909835,1.4156355900965667,0.0,28638780.736013267,1565959311.0470707,9015947.592194512
52,"Primary iron, steel, and ferroalloy products",331110,US,96870670.19992104,25731998.312920503,241916871.8863765,1426473756.5969594,24712058.836032808,51089528.37256511,282333771.406708,82513615210.06427,1869165.521033378,0.44365261952609364,1.3487990424309775,25042080.203091867,1.7931175126922685,147494.65393182903,127646566.52432086,489479.1202752051,103327946.99593022,0.0,613.0676356144921,178.40799395401152,24712058.836032808,1435208435.0343688,31241370277.903633,1519504272.0129485
53,Secondary steel products,331200,US,2225029.425579304,2764218.3159018485,25993681.077650625,31124418.581539698,287274.33294688835,1255114.662186704,83511892.28309289,1484875153.2286246,223395.20303071596,0.017832894429373372,0.09994117468912546,735605.0551593216,0.11781287524924966,28937.707292314648,15428854.575794233,20594.95072166712,0.0,0.0,170.0883476968625,2.354367860083718,287274.33294688835,46763428.60400017,2852822792.003709,118778304.12183757
54,Aluminum,33131A,US,69098329.569354,4163986.8264392978,39144689.34057417,143871031.1607292,127224.55701285489,79592092.11345814,19901673.120373618,15476493975.501108,6134980.218392985,0.175186243667579,1.1742186397647758,14696465.858876707,1.349656470103093,30603.845329552718,20660830.86109721,71428.32089344345,0.0,0.0,1147.041697583246,5.300148813288109,127224.55701285489,181697421.9179004,5148672479.502634,375181415.0101324
55,Aluminum products,33131B,US,4038500.1774352044,5646996.176029816,52739680.594565906,45116609.98847785,22649.664594309124,5246870.582176924,1148198.3363004904,3610428488.9011827,1157982.1796461418,0.10571637188874183,0.27181630088673536,2596882.6480075326,0.3777769411606588,48823.894342324515,42148974.62864934,376806.387160721,0.0,0.0,898.3625573554733,6.156837525958666,22649.664594309124,105025937.51718603,5183108886.601703,413014409.35659707
56,Primary copper,331411,US,52805703.259363696,2077748.9371068643,19541970.098983273,102190195.07907678,0.0,9161056.587805418,1600378.8035719006,175694689.71924087,5088958.407581063,0.06181199717807268,0.058190770564143506,6635386.225124886,0.12013407739126122,4858.678619981767,2284086.746781642,83342.09934473177,0.0,0.0,143.79632259223715,0.0,0.0,169103131.82337573,2486543626.319487,42724703.88877724
57,Other primary nonferrous metals,331419,US,9945298.165397357,2788901.7110378267,26228956.580645073,332155366.77512825,0.0,1806267.7739019922,472825.8783938958,3734601320.8727617,734492.3654402347,0.028961018467368777,0.6106494375184325,1446129.410684951,0.6396622164470269,17466.80033034381,10582630.772758406,32925.02786730584,0.0,0.0,212.24994855475353,639.8644751798336,0.0,39216620.34587528,4345007496.764877,134669298.0565054
58,Secondary copper products,331420,US,339664.3177309799,5075619.037352751,47185022.35062915,4137348.8524369216,0.0,750223.4775382614,66050.35600480242,999001641.4301258,198863.09734778033,0.011778156770253777,0.0636819533685976,441793.36158375605,0.07545096222741861,32118.10954779535,18247959.315630876,71493.24600057112,0.0,0.0,34.666867050183576,0.4003550043158163,0.0,15596723.736813152,4821505843.0234585,347337419.3810667
59,Other secondary nonferrous metal products,331490,US,12692885.716581196,2904775.6786698867,26653512.121204376,449758764.96174586,11263.05740817963,2089786.496657761,212640.0575402508,1719597117.5933511,590070.8947763124,0.027682108183001798,1.1889057345854745,1950166.691978652,1.216636129360342,18798.090204395176,8482251.185229113,54428.952508293245,0.0,0.0,297.97579431851835,0.2926641490821924,11263.05740817963,46195240.51108837,4482873629.486986,154625507.59841508
60,Cast iron and steel,331510,US,3817574.86096274,3882908.1680200775,36515339.21611932,16149350.257348645,0.0,18637835.854060847,301842.76091900753,1081080164.2461555,859777.4018496042,0.3536351508970722,1.6173164318315658,10555092.330509672,1.971529846214551,83674.04560479369,35419631.67058529,121756.66867515762,0.0,0.0,32.62793897634848,0.0,0.0,113234862.58796765,7953421138.175118,628419286.760974
61,Nonferrous metal casts,331520,US,847698.5322603795,2894366.308670263,27217961.781954974,10827061.273201307,4913.179727316743,2978813.031773803,92195.64054270255,1912581961.87531,186327.86276967468,0.05444876868435228,0.09017423540608781,1740974.1191606324,0.14470911129782338,55652.37530633472,29513561.606801443,96604.99305270376,0.0,0.0,17.402821756714854,0.011570234975131714,4913.179727316743,29376600.912048515,5801657328.014495,478557519.9676001
62,"All other forging, stamping, and sintering",33211A,US,1843299.5529564172,6822474.592665149,64166432.99046788,50446956.41790669,1901847933.797059,1240670.3590471023,462371.48099536065,1735587082.04961,694523.9782926206,0.026796532575645154,0.11246796708111546,456834.33150607167,0.13931574679467296,47203.55170887946,21365555.08806533,144510.4416413468,0.0,0.0,102.60409370226307,1.2737505769022366,1901847933.797059,45332280.7748791,5050022203.940686,25230839.110195834
63,Custom metal rolls,332114,US,39288.50523574214,4096443.297717863,38523071.52991509,947858.9397945578,8746.829157621742,19975.730411092456,4919.330756093335,338894141.62507206,373208.5416670664,0.006310827514922218,0.039244314015552534,18532.69678797362,0.045568951965368996,6824.258788322706,3380753.392143468,1164.5045835916483,0.0,0.0,65.75681719950873,0.0,8746.829157621742,5631266.72562714,2058113572.1868026,5617378.229335569
64,"Lids, jars, bottle caps, other metal closures and crowns",33211B,US,112931.59975353659,6511150.685252235,61186331.997158,2298064.555494575,133537.6591408925,596774.3263310761,17931.898454029753,383868240.9443127,737119.4889254891,0.08912446298349881,0.12353432819259347,48963.55376325104,0.2128438400255152,48855.24114910702,21693100.681331478,2271.2373581663633,0.0,0.0,107.63176393480377,0.7701074319836881,133537.6591408925,13096980.19694083,5244979723.715697,11333934.47465107
65,Cutlery and handtools,332200,US,151270.30523254574,5317811.187674529,49885565.91673659,1727648.4537897161,78012.12743072458,312003.08999494906,458832.94539625983,365664596.36419016,620283.5067592826,0.11927733091376601,0.08678552488859734,195816.19392113725,0.20634302490040723,42390.65814870098,20133964.648179196,1799.987039431163,0.0,0.0,515.5391658980822,0.06767124818924591,78012.12743072458,12663722.158102583,5287702301.670846,10259271.67602695
