,industry_detail,industry_code,industry_region,ACID,CCDD,CMSW,CRHW,ENRG,ETOX,EUTR,GHG,HAPS,HCAN,HNCN,HRSP,HTOX,JOBS,LAND,METL,MNRL,NNRG,OZON,PEST,RNRG,SMOG,VADD,WATR
0,"Fresh soybeans, canola, flaxseeds, and other oilseeds",1111A0,US,90925197.97105505,4436659.225116564,64917231.772207,37054.57381974356,0.0,940636790429.304,332901499.7547218,16726246733.926775,733465.0865860829,2.765322544085032,68.85010734333258,228626577.57098657,71.62091341204302,4489.736894685537,67018570155.42677,110.579226558175,0.0,0.0,0.0,10960010.702295462,0.0,670139748.0192381,14099678575.292788,75228594.69154456
1,"Fresh wheat, corn, rice, and other grains",1111B0,US,1532057101.0083199,9278164.780592248,135733416.56766334,77413.0846988759,0.0,897610640317.1006,2477884734.0082517,151042727667.3127,5088006.076307955,37.327618238698385,90.42582671251105,761547188.9125327,127.78750314115095,33361.12777938619,820774903074.4343,88159.27377460303,0.0,0.0,173.85346342002688,47427244.440685466,0.0,4229616296.607834,-194519880.4961949,35175609440.85313
2,"Fresh vegetables, melons, and potatoes",111200,US,147681296.18546677,3374529.5289175003,49359278.142229,28142.55640867454,66396436.870031714,541882873552.1632,129777997.80070932,9410786855.736937,5871438.553040211,2.4867852899251837,113.83751965020532,34773361.57855706,116.05305936165651,108071.17131057635,37777198142.19694,50320.846020586476,0.0,0.0,151176.12992473764,22145617.844176102,66396436.870031714,441722767.7754255,12445610158.133352,12172617706.61124
3,Fresh fruits and tree nuts,111300,US,82885391.62718457,4492816.500009311,65731833.06454229,44195.14274769955,0.0,449685039324.76355,6245439.992692191,6484634212.626519,873890.1006966656,3.7017239332095575,26.08389320179704,26486977.03353677,29.791730180055204,207459.12803591718,46631134540.34339,350847.6514082114,0.0,0.0,29262.00307845632,10634260.585172843,0.0,414084461.234902,13725075165.606121,10342840727.845015
4,"Greenhouse crops, mushrooms, nurseries, and flowers",111400,US,19738250.87118762,3299353.477810668,46314081.01626773,33771.57756418027,106232.36984929953,14035989.412904946,2438156.000415301,14715553627.667007,919996.6962356895,5.208044830217366,12.479180334570678,2863830.9897271427,17.6984057679178,167724.40907120088,17700522694.827457,519.9174148776714,0.0,0.0,16.982459233929884,0.0007381893326381731,106232.36984929953,783726473.3429431,11072072023.248638,961426851.4926082
5,"Tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops",111900,US,149342592.07561502,3492368.5482132128,51069759.87862051,35332.01072932398,148775878.1875351,588505746969.776,136478740.83905506,27476635332.158703,5426364.6799616525,30.19255401618302,138.79043078309886,407743561.10965616,169.0198733981872,157935.44980475932,404782988051.88696,185.79473078363412,0.0,0.0,66.01871652162166,8223267.180259327,148775878.1875351,1154523871.7563682,11814532288.403206,90072577694.79324
6,Cattle ranches and feedlots,1121A0,US,1158821847.7113814,6265673.5812414335,91632921.09256954,52260.43762728785,0.0,28787247.61912319,111209863.68582231,203311883966.7817,2240470.387544031,12.776052613621394,19.353858989291165,50204155.4538609,32.15733027624302,72616.91357237443,2500221528660.2607,393.5599314174476,0.0,0.0,0.0,0.0,0.0,2300445951.348241,20656517231.719173,5849375408.937681
7,Dairies,112120,US,801802030.1891611,3590709.910751511,52537011.1439478,29981.851555004225,0.0,13009499.384139454,69848435.24209885,102594996572.62364,1013301.05463202,5.770839363824119,8.778288172979996,30980871.340253185,14.561512089559223,109482.01135854937,156495225373.38712,170.11022972861107,0.0,0.0,0.0,0.0,0.0,1057174090.3982894,13191192555.394342,2380297229.813509
8,Animal farms and aquaculture ponds (except cattle and poultry),112A00,US,933695725.8385515,2669725.3723695213,38782423.70547632,33283.20193572167,527000.976711395,4189728.7239911165,66629450.820671655,32608069720.578472,328292.09998305555,1.8096953463891443,2.7920852025259792,33930314.438251354,4.605664137236621,110643.74682210939,355155344944.68005,552.0081450977461,0.0,0.0,0.21175649697503163,0.09592674544793356,527000.976711395,332348203.00417507,18782380925.646088,13549281100.683636
9,Poultry farms,112300,US,974261473.2845918,3246213.2746762135,47452600.300228804,28076.972649406704,0.0,3945805.3389567737,62961867.53398906,12461733061.799225,307169.6175356566,1.6985984825556233,2.9245649875552155,35362919.26561954,4.626807775725541,90944.04346028448,26648732501.123722,61.37954961646648,0.0,0.0,0.003502263197570529,0.0,0.0,299487510.7323123,9372998003.87017,340591344.0166965
10,Timber and raw forest products,113000,US,18535692.514804367,4732726.963072626,68532584.40564679,87296.55049868094,5921497.88546405,18777441196.41313,5968132.546429247,3039215055.833069,2589476.9546033163,4.738756864717614,10.673582186480742,15393527.03500605,15.421696554622391,85112.03405099928,2165008569238.6697,1417.3008960101934,0.0,0.0,8.109114241449525,262099.10370609182,5921497.88546405,431175892.5645613,14088736984.197824,2930909848.9981184
